,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Suffer Love Ashley Herring Blake,Suffer Love,Ashley Herring Blake,HMH Books for Young Readers,2091,3.86,"('5', '3', '2016')",2016
0,Simon vs. The Homo Sapiens Agenda Becky Albertalli,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli: Conversation Starters,BookHabits,Blurb,4,3.75,"('5', '22', '2019')",2019
1,Simon vs. The Homo Sapiens Agenda Becky Albertalli,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli | Summary & Analysis,Nosco Publishing,,1,5.00,"(None, None, None)",
2,Simon vs. The Homo Sapiens Agenda Becky Albertalli,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli | Conversation Starters,BookHabits,Cb,0,0.00,"('11', '26', '2018')",2018
3,Simon vs. The Homo Sapiens Agenda Becky Albertalli,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,Balzer + Bray,251959,4.29,"('4', '7', '2015')",2015
4,Simon vs. The Homo Sapiens Agenda Becky Albertalli,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
5,Simon vs. The Homo Sapiens Agenda Becky Albertalli,Penguin Readers Level 5: Simon vs. The Homo Sapiens Agenda (ELT Graded Reader),Becky Albertalli,Penguin,0,0.00,"('5', '6', '2021')",2021
0,The Upside of Unrequited Becky Albertalli,"The Upside of Unrequited (Simonverse, #2)",Becky Albertalli,Balzer + Bray,53094,3.95,"('4', '11', '2017')",2017
1,The Upside of Unrequited Becky Albertalli,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
0,Leah on the Offbeat Becky Albertalli,"Leah on the Offbeat (Creekwood, #2)",Becky Albertalli,HarperCollins/Balzer + Bray,49049,3.86,"('4', '24', '2018')",2018
1,Leah on the Offbeat Becky Albertalli,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
0,Kate in Waiting Becky Albertalli,Kate in Waiting,Becky Albertalli,Balzer + Bray,62,4.38,"('4', '20', '2021')",2021
0,Love Creekwood Becky Albertalli,"Love, Creekwood (Simonverse, #3.5)",Becky Albertalli,Balzer + Bray,3872,3.85,"('6', '30', '2020')",2020
0,What if It's Us Becky Albertalli,"What If It's Us (What If It's Us, #1)",Becky Albertalli,HarperTeen,49827,3.91,"('10', '9', '2018')",2018
1,What if It's Us Becky Albertalli,"Untitled (What If It's Us, #2)",Becky Albertalli,HarperTeen,24,4.36,"(None, None, '2021')",2021
0,Dessert First Dean Gloster,Dessert First,Dean Gloster,Simon Pulse,171,4.06,"('9', '2', '2016')",2016
0,War & Speech Don Zolidis,War and Speech,Don Zolidis,,113,4.04,"(None, None, None)",
0,Seven Torments of Amy and Craig Don Zolidis,The Seven Torments of Amy and Craig,Don Zolidis,Disney-Hyperion,638,3.92,"('10', '2', '2018')",2018
0,Rebel Girls Elizabeth Keenan,Rebel Girls,Elizabeth Keenan,Inkyard Press,115,3.65,"('9', '10', '2019')",2019
0,The Art of Escaping Erin Callahan,The Art of Escaping,Erin  Callahan,Amberjack Publishing,232,3.88,"('6', '19', '2018')",2018
