,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
14,The Crown Tower,The Romance & Adventures of the Notorious Colonel Blood who attempted to steal the Crown Jewels from The Tower of London in the Reign of Charles II,Wittenbury Kaye,John Heywood,1,4.00,"('5', None, '1903')",1903
15,The Crown Tower,"London, Her Crowned and Uncrowned, from Westminster to the Tower",John Heneage Jesse,Wildside Press,0,0.00,"('12', '31', '2010')",2010
16,The Crown Tower,Everything You Need To Know About The Crown Jewels: Find Out All You Need Know About The Magnificent Treasures Of The Tower of London And Their Fascinating Stories,Joanne Hayle,Createspace Independent Publishing Platform,0,0.00,"('12', '7', '2015')",2015
17,The Crown Tower,"The Half Crowns Of Charles I Minted In England, Scotland And Ireland 1625 1649: V. 2: Tower Mint Under King 3rd And 4th Horsemen Briot's Coinage And Aberystwyth Horse Aberystwyth Mint",Maurice Bull,,0,0.00,"(None, None, None)",
0,Age of Myth,"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,Del Rey,19624,4.24,"('6', '28', '2016')",2016
1,Age of Myth,"Wars of the Irish Kings: A Thousand Years of Struggle, from the Age of Myth through the Reign of Queen Elizabeth I",David Willis McCullough,Three Rivers Press,263,3.55,"('2', '26', '2002')",2002
2,Age of Myth,Golden Age of Myth & Legend (Wordsworth Reference),Thomas Bulfinch,Wordsworth Editions,146,3.91,"('5', '5', '2001')",2001
3,Age of Myth,Lightbringers: The Age of Myths and Legends,David   Price,,5,4.67,"(None, None, None)",
4,Age of Myth,The Myth of the Strong Leader: Political Leadership in the Modern Age,Archie Brown,The Bodley Head,426,3.63,"('4', '10', '2014')",2014
5,Age of Myth,Sun Lore of All Ages: A Collection of Myths and Legends,William Tyler Olcott,Dover Publications,19,3.63,"('11', '29', '2005')",2005
6,Age of Myth,"Awakened (Kurtherian Gambit: Age of Expansion: The Ascension Myth, #1)",Ell Leigh Clarke,,1312,4.16,"(None, None, None)",
7,Age of Myth,"Stupid History: Tales of Stupidity, Strangeness, and Mythconceptions Throughout the Ages",Leland Gregory,Andrews McMeel Publishing,1487,3.32,"('5', '1', '2007')",2007
8,Age of Myth,We Need New Stories: Challenging the Toxic Myths Behind Our Age of Discontent,Nesrine Malik,,182,4.02,"(None, None, None)",
9,Age of Myth,"Activated (Kurtherian Gambit: Age Of Expansion: The Ascension Myth, #2)",Ell Leigh Clarke,,1065,4.47,"(None, None, None)",
10,Age of Myth,"TechGnosis: Myth, Magic  Mysticism in the Age of Information",Erik Davis,Serpent's Tail,376,4.11,"('11', '12', '2004')",2004
11,Age of Myth,"Called (Kurtherian Gambit: Age Of Expansion: The Ascension Myth, #3)",Ell Leigh Clarke,,992,4.53,"(None, None, None)",
12,Age of Myth,The Age of Chivalry (Bulfinch's Medieval Mythology),Thomas Bulfinch,Dover Publications,842,3.89,"('8', '30', '2004')",2004
13,Age of Myth,"Sanctioned (Kurtherian Gambit: Age of Expansion: The Ascension Myth, #4)",Ell Leigh Clarke,,891,4.54,"(None, None, None)",
14,Age of Myth,"Beyond the Age of Oil: The Myths, Realities, and Future of Fossil Fuels and Their Alternatives",Leonardo Maugeri,Praeger,5,3.60,"('2', '1', '2010')",2010
15,Age of Myth,"Rebirth (Kurtherian Gambit: Age of Expansion: The Ascension Myth, #5)",Ell Leigh Clarke,,793,4.49,"(None, None, None)",
16,Age of Myth,The Age of Homespun: Objects and Stories in the Creation of an American Myth,Laurel Thatcher Ulrich,Knopf,410,4.01,"('10', '30', '2001')",2001
17,Age of Myth,The Age of Chivalry: Myths and Legends,Claude-Catherine Ragache,Cherrytree Books,7,4.14,"(None, None, '1989')",1989
18,Age of Myth,"Retribution (Kurtherian Gambit: Age of Expansion: The Ascension Myth, #6)",Ell Leigh Clarke,,680,4.49,"(None, None, None)",
19,Age of Myth,"Cloaked (Kurtherian Gambit: Age Of Expansion: The Ascension Myth, #7)",Ell Leigh Clarke,,622,4.50,"(None, None, None)",
0,Nolyn,"Nolyn (The Rise and Fall, #1)",Michael J. Sullivan,Grim Oak Press,46,4.33,"('8', '3', '2021')",2021
1,Nolyn,Effective Leadership for the Growing Professional,Nolyn Johnson Jr.,Createspace Independent Publishing Platform,0,0.00,"('10', '22', '2013')",2013
2,Nolyn,"Firefighter Down, District One",Blaize Nolynne,America Star Books,3,4.00,"('4', '1', '2012')",2012
3,Nolyn,District One Stand by: On the Bleeding Edge of Change: Book II,Blaize Nolynne,America Star Books,2,3.50,"('11', '30', '2012')",2012
4,Nolyn,"The Captain's Last Year, Fighting the Fire and Cancer: One Year to Live",Blaize Nolynne,,2,4.50,"(None, None, None)",
