,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Translation Quality Assessment Moorkens Castilho Gaspari Doherty,Translation Quality Assessment: From Principles to Practice,Joss Moorkens,Springer,1,5.00,"('9', '12', '2018')",2018
1,Translation Quality Assessment Moorkens Castilho Gaspari Doherty,Translation Quality Assessment: From Principles to Practice (Machine Translation: Technologies and Applications Book 1),Joss Moorkens,,0,0.00,"(None, None, None)",
0,The Wild Inside Jamey Bradbury,The Wild Inside,Jamey Bradbury,William Morrow,574,3.29,"('3', '20', '2018')",2018
0,People Who Knew Me Kim Hooper,People Who Knew Me,Kim Hooper,St. Martin's Press,925,3.99,"('5', '24', '2016')",2016
0,Cherry Blossoms Kim Hooper,Cherry Blossoms,Kim Hooper,Turner,26,4.30,"('10', '30', '2018')",2018
0,Tiny Kim Hooper,Tiny,Kim Hooper,Turner,66,4.12,"(None, None, '2019')",2019
0,Landfalls Naomi J. Williams,Landfalls,Naomi J. Williams,"Farrar, Straus and Giroux",514,3.89,"('8', '4', '2015')",2015
0,"Scratch: Writers, Money, and the Art of Making a Living Manjula Martin","Scratch: Writers, Money, and the Art of Making a Living",Manjula Martin,Simon  Schuster,934,3.80,"('1', '3', '2017')",2017
0,Fools in Love Rebecca Podos,Fools in Love,Rebecca Podos,Running Press Kids,2,5.00,"('12', None, '2021')",2021
0,Loose Lips Amy Stephenson,Loose Lips: Fanfiction Parodies of Great (and Terrible) Literature from the Smutty Stage of Shipwreck,Amy Stephenson,Grand Central Publishing,50,3.23,"('9', '27', '2016')",2016
0,"Moonflower, Nightshade, All the Hours of the Day JD Scott","Moonflower, Nightshade, All the Hours of the Day",J.D. Scott,&NOW Books,34,3.82,"('4', '14', '2020')",2020
0,The War in Our Hearts Eva Seyler,The War in Our Hearts,Eva Seyler,Authors 4 Authors Publishing Cooperative,106,4.78,"('3', '24', '2019')",2019
0,You're Grounded Chris Lassiter,You're Grounded: Rooted in Truth in a Shallow World,Chris Lassiter,Moody Publishers,4,4.25,"('7', '1', '2013')",2013
0,Ceremonials Katharine Coldiron ,Ceremonials,Katharine Coldiron,,56,4.18,"(None, None, None)",
0,Witchy Ariel Ries,Witchy,Ariel Slamet Ries,Oni Press,2763,3.84,"('9', '17', '2019')",2019
0,My Riot Emmett Helen,My Riot,Rick Spears,Oni Press,172,3.73,"('9', '8', '2020')",2020
0,DeadEndia 1 Hamish Steele,DeadEndia: The Complete Season One,Hamish Steele,,19,4.47,"('1', None, '2017')",2017
0,Pantheon Hamish Steele,Pantheon: The True Story of the Egyptian Deities,Hamish Steele,Lead Ache,446,4.33,"('10', None, '2014')",2014
0,Bloom Kevin Panetta,Bloom,Kevin Panetta,First Second,15989,4.07,"('1', '29', '2019')",2019
0,Northwest Passage Scott Chantler,The Annotated Northwest Passage,Scott Chantler,Oni Press,143,3.77,"(None, None, '2007')",2007
1,Northwest Passage Scott Chantler,Northwest Passage Volume 1,Scott Chantler,Oni Press,23,3.57,"('7', '12', '2005')",2005
2,Northwest Passage Scott Chantler,"Northwest Passage, Volume 2",Scott Chantler,Oni Press,12,3.58,"('2', '7', '2006')",2006
3,Northwest Passage Scott Chantler,"Northwest Passage, Volume 3",Scott Chantler,,9,4.00,"(None, None, None)",
0,Two Generals Scott Chantler,Two Generals,Scott Chantler,McClelland & Stewart,655,3.97,"('10', '26', '2010')",2010
0,Three Thieves Scott Chantler,"Tower of Treasure (Three Thieves, #1)",Scott Chantler,Kids Can Press,1674,3.97,"('8', '1', '2010')",2010
1,Three Thieves Scott Chantler,"The Sign of the Black Rock (Three Thieves, #2)",Scott Chantler,Kids Can Press,634,4.03,"('9', '1', '2011')",2011
2,Three Thieves Scott Chantler,"The King's Dragon (Three Thieves, #4)",Scott Chantler,Kids Can Press,373,4.07,"('4', '1', '2014')",2014
3,Three Thieves Scott Chantler,"The Captive Prince (Three Thieves, #3)",Scott Chantler,Kids Can Press,502,4.00,"('9', '1', '2012')",2012
4,Three Thieves Scott Chantler,"Pirates of the Silver Coast (Three Thieves, #5)",Scott Chantler,Kids Can Press,331,4.11,"('9', '1', '2014')",2014
5,Three Thieves Scott Chantler,"Dark Island, The (Three Thieves)",Scott Chantler,,14,4.16,"(None, None, None)",
6,Three Thieves Scott Chantler,"Iron Hand, The (Three Thieves)",Scott Chantler,,17,4.36,"(None, None, None)",
0,Three Thieves Scott Chantler,"Tower of Treasure (Three Thieves, #1)",Scott Chantler,Kids Can Press,1674,3.97,"('8', '1', '2010')",2010
1,Three Thieves Scott Chantler,"The Sign of the Black Rock (Three Thieves, #2)",Scott Chantler,Kids Can Press,634,4.03,"('9', '1', '2011')",2011
