,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Timekeeper Trilogy,"The Timekeeper’s Moon (Farwalker Trilogy, #2)",Joni Sensel,Bloomsbury,254,3.94,"('3', '2', '2010')",2010
1,Timekeeper Trilogy,Timekeeper (Keeping Time Trilogy #2),Heather Albano,Smashwords Edition,40,3.88,"('12', '21', '2012')",2012
2,Timekeeper Trilogy,AWOL: Timekeeper Trilogy Book 3 (Time Keeper Trilogy),Traci Harding,,24,4.34,"(None, None, None)",
3,Timekeeper Trilogy,The Timekeepers Solution: Book Three in the Weaverworld Trilogy,Julia K. Rohan,,1,5.00,"(None, None, None)",
0,Labyrinth Lost,"Labyrinth Lost (Brooklyn Brujas, #1)",Zoraida Córdova,Sourcebooks Fire,4237,3.74,"('8', '1', '2017')",2017
1,Labyrinth Lost,"The Lost Labyrinth (Daniel Knox, #3)",Will    Adams,Harper,1155,3.69,"('10', '29', '2009')",2009
2,Labyrinth Lost,"Suti and the Lost Labyrinth (Suti the Scribe, #2)",Jerry Dubs,Gerald B. Dubs,74,4.42,"('10', '15', '2018')",2018
3,Labyrinth Lost,Labyrinth of the Lost,Andy     Clark,Black Library,41,3.29,"('5', '14', '2016')",2016
4,Labyrinth Lost,The Talismans of Time (Academy of the Lost Labyrinth Book 1),Stephen H. Provost,,5,4.20,"(None, None, None)",
5,Labyrinth Lost,The Lost Labyrinth: The Supernatural Grail Quest Zombie Apocalypse (The Last Artifact Trilogy Book 2),Gilliam Ness,,11,4.18,"(None, None, None)",
6,Labyrinth Lost,Pathfinder of Destiny (Academy of the Lost Labyrinth Book 2),Stephen H. Provost,Dragon Crown Books,1,5.00,"('1', '20', '2020')",2020
7,Labyrinth Lost,Lost in the Labyrinth,Patrice Kindl,HMH Books for Young Readers,381,3.39,"('9', '26', '2005')",2005
8,Labyrinth Lost,Lupo and the Labyrinth of the Lost Palace,Aby King,Hachette Children's,0,0.00,"('7', '26', '2016')",2016
9,Labyrinth Lost,The Flesh Labyrinth (The Lost Ones Trilogy Book 3),J. Peter W.,,1,5.00,"(None, None, None)",
10,Labyrinth Lost,Durch das Labyrinth von LOST: Die US-Fernsehserie aus kultur- und medienwissenschaftlicher Perspektive,Verena Schmöller,Schüren Verlag,1,3.00,"('3', '16', '2011')",2011
11,Labyrinth Lost,Riddle of the Labyrinth: The Quest to Crack an Ancient Code and the Discovery of a Lost Civilisation,Margalit Fox,Not Avail,98,3.96,"('5', '27', '2014')",2014
12,Labyrinth Lost,The Lost Labyrinth,Ruth E. Glover,Lulu,0,0.00,"('9', '5', '2008')",2008
13,Labyrinth Lost,"Lost in the Labyrinth (Secret in the Attic, #1)",L.A. Peacock,,31,3.50,"(None, None, '2010')",2010
14,Labyrinth Lost,"Lost in the Labyrinth (Immoral Intentions, #1)",Lady T.L. Jennings,My Secret Quill,29,3.55,"('9', '26', '2016')",2016
15,Labyrinth Lost,"Vietnam Labyrinth: Allies, Enemies, & Why the U.S. Lost the War",Tran Ngoc Chau,Texas Tech University Press,10,4.20,"('11', '15', '2012')",2012
16,Labyrinth Lost,Lost in Labyrinth: Symptoms and Conditions of Trauma (Trauma Essentials Book 3),Roland Bal,,2,5.00,"(None, None, None)",
17,Labyrinth Lost,Lost in the labyrinth of my mind,K. Morris,,8,4.62,"(None, None, None)",
18,Labyrinth Lost,Lost in Time: Labyrinths,Jean-Claude Forest,Nantier Beall Minoustchine Publishing,4,3.09,"('7', '1', '1986')",1986
19,Labyrinth Lost,Lyme and Punishment: Lost in the Labyrinth of Misdiagnosed Lyme Disease,M.S. Carr,,3,4.67,"(None, None, None)",
0,Drowning Summer,The Drowning Summer,Christine Lynn Herman,Little Brown,3,4.33,"(None, None, '2022')",2022
1,Drowning Summer,The Summer I Drowned,Taylor Hale,,149,3.92,"('7', '7', '2020')",2020
2,Drowning Summer,A Summer of Drowning,John Burnside,Jonathan Cape,523,3.58,"('7', '25', '2011')",2011
3,Drowning Summer,Summer Drowning [夏溺],九月买的饼干,,1,2.00,"(None, None, None)",
4,Drowning Summer,Summer's Drowning,Gregory Jon Schaffer,Second Chance Publishing,0,0.00,"('11', '30', '2013')",2013
5,Drowning Summer,Summer's Drowning,Greg Schaffer,Second Chance Publishing,0,0.00,"('11', '30', '2013')",2013
6,Drowning Summer,"Fate of the Drowned (The Broken Lands, #3)",Carrie  Summers,Amazon Digital Services,98,4.26,"(None, None, None)",
7,Drowning Summer,"Sunflower Diary: Yellow Hand Drown Flowers on Turquois Background Notebook, Spring and Summer Inspired Floral Journal for Plant, Botany Lovers",Arimasor,Independently Published,0,0.00,"('4', '15', '2019')",2019
0,PEOPLE LIKE US,People Like Us,Dana  Mele,G.P. Putnam's Sons Books for Young Readers,7886,3.54,"('2', '27', '2018')",2018
1,PEOPLE LIKE US,People Like Us,Dominick Dunne,Ballantine Books,1419,3.89,"('11', '28', '1998')",1998
2,PEOPLE LIKE US,People Like Us: What it Takes to Make it in Modern Britain,Hashi Mohamed,,86,4.28,"(None, None, None)",
3,PEOPLE LIKE US,People Like Us,Louise Fein,,166,4.30,"(None, None, None)",
4,PEOPLE LIKE US,"People Like Us (The Abnormalities, #1)",Cristina    Fernandez,,1,4.20,"('1', '18', '2016')",2016
5,PEOPLE LIKE US,People Like Us: Misrepresenting the Middle East,Joris Luyendijk,Soft Skull Press,137,4.14,"('9', '29', '2009')",2009
6,PEOPLE LIKE US,People Like Us,Dang Ziciu,Amazon Digital Services,77,3.38,"('4', '28', '2013')",2013
7,PEOPLE LIKE US,People Like Us: How Arrogance Is Dividing Islam and the West,Waleed Aly,Picador,97,3.68,"('1', None, '2007')",2007
8,PEOPLE LIKE US,People Like Us,Yosephine Monica,Penerbit Haru,194,3.85,"('6', None, '2014')",2014
9,PEOPLE LIKE US,Not To People Like Us: Hidden Abuse In Upscale Marriages,Susan Weitzman,Basic Books,78,3.73,"('8', '16', '2001')",2001
10,PEOPLE LIKE US,People Like Us (Winsford Green #2),Ruby Moone,,104,4.33,"(None, None, None)",
11,PEOPLE LIKE US,Where People Like Us Live,Patricia Cumbie,HarperCollins,82,3.19,"('5', '13', '2008')",2008
12,PEOPLE LIKE US,People Like Us: Margaret Thatcher and Me,Caroline Slocock,,68,4.05,"(None, None, None)",
13,PEOPLE LIKE US,People Like Us: The New Wave of Candidates Knocking at Democracy’s Door,Sayu Bhojwani,,22,3.82,"('10', '16', '2018')",2018
14,PEOPLE LIKE US,The Fall of the Red Wall: 'The Labour Party no longer represents people like us',Steve Rayson,,25,3.93,"(None, None, None)",
15,PEOPLE LIKE US,"People Like Us: Social Mobility, Inequality and Making it in Modern Britain",Hashi Mohamed,,6,5.00,"(None, None, None)",
16,PEOPLE LIKE US,People Like Us: Short Stories,Javier Valdés,Atria Books,33,2.93,"('6', '6', '2006')",2006
17,PEOPLE LIKE US,People Like Us: A Season Among the Upper Classes,Charles Jennings,"Little, Brown Book Group",14,3.50,"('4', '1', '1998')",1998
18,PEOPLE LIKE US,People Like Us,Chris Binchy,Pan Publishing,21,2.67,"('3', '4', '2005')",2005
19,PEOPLE LIKE US,Lessons from a Difficult Person: How to Deal with People Like Us,Sarah H. Elliston,,8,4.12,"(None, None, None)",
0,Half in Love with Death,Half in Love with Death,Emily  Ross,Simon Pulse,187,3.83,"('12', '16', '2015')",2015
1,Half in Love with Death,Half in Love with Artful Death (Sheriff Dan Rhodes #21),Bill Crider,Minotaur Books,160,3.83,"('8', '12', '2014')",2014
2,Half in Love with Death,Half in Love with Death: Managing the Chronically Suicidal Patient,Joel Paris,Routledge,15,3.00,"('6', '23', '2006')",2006
3,Half in Love with Death,Half in Love With Death: Managing the Chronically Suicidal Patient,Joel Paris,,3,4.00,"(None, None, None)",
0,Audacious,Killing Patton: The Strange Death of World War II's Most Audacious General,Bill O'Reilly,,18671,4.10,"(None, None, None)",
1,Audacious,Argo: How the CIA & Hollywood Pulled Off the Most Audacious Rescue in History,Antonio J. Méndez,Viking,10215,3.85,"('9', '13', '2012')",2012
2,Audacious,Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,Doubleday,6550,3.38,"('7', '12', '2011')",2011
3,Audacious,"Audacious (Kris Longknife, #5)",Mike Shepherd,Ace,2884,4.05,"('10', '30', '2007')",2007
4,Audacious,Audacious,Beth Moore,B Books,1654,4.19,"('11', '1', '2015')",2015
5,Audacious,Cornelia and the Audacious Escapades of the Somerset Sisters,Lesley M.M. Blume,Knopf Books for Young Readers,2458,4.17,"('7', '11', '2006')",2006
6,Audacious,"Operation Thunderbolt: Flight 139 and the Raid on Entebbe Airport, the Most Audacious Hostage Rescue Mission in History",Saul David,"Little, Brown and Company",742,4.20,"('12', '1', '2015')",2015
7,Audacious,Audacious (Knights Rebels MC #6),River Savage,,38,4.37,"(None, None, '2016')",2016
8,Audacious,Betrayal in Berlin: The True Story of the Cold War's Most Audacious Espionage Operation,Steve Vogel,Custom House,17,4.25,"('9', '15', '2020')",2020
9,Audacious,Audacious (Ella #1),Gabrielle S. Prendergast,Orca,468,3.77,"('10', '1', '2013')",2013
10,Audacious,One Thousand Wells: How an Audacious Goal Taught Me to Love the World Instead of Save It,Jena Lee Nardella,Howard Books,366,4.25,"('8', '25', '2015')",2015
11,Audacious,"The Ghost Army of World War II: How One Top-Secret Unit Deceived the Enemy with Inflatable Tanks, Sound Effects, and Other Audacious Fakery",Rick Beyer,Princeton Architectural Press,339,4.06,"('4', '28', '2015')",2015
12,Audacious,Too Close to the Sun: The Audacious Life and Times of Denys Finch Hatton,Sara Wheeler,Random House,537,3.74,"('4', '24', '2007')",2007
