,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Pirate Year Round,Pirate Year Round,Marla Lesage,Acorn Press,3,4.67,"('5', '31', '2019')",2019
0,10 Little Ninjas,10 Little Ninjas,Miranda  Paul,Knopf Books for Young Readers,386,3.95,"('8', '9', '2016')",2016
1,10 Little Ninjas,Ten Little Ninja: Divisible by Five: Chapter 2,Henry Livingston,Lulu.com,0,0.00,"('4', '22', '2018')",2018
2,10 Little Ninjas,Ten Little Ninjas: Divisible by Five,Henry Livingston,Lulu.com,0,0.00,"('4', '22', '2018')",2018
3,10 Little Ninjas,Ten Little Ninjas,Jamie Larkin,Smashwords Edition,0,0.00,"('7', '15', '2011')",2011
4,10 Little Ninjas,Little Ninja Counts to 10,Anna Swartz,,0,0.00,"(None, None, None)",
5,10 Little Ninjas,The Story of the Ninja Snails (Coles Little Treehouse #10),Andy Griffiths,Coles,1,5.00,"(None, None, '2020')",2020
6,10 Little Ninjas,Ninja Within: Cute Little Ninja Sketchbook/Sticker Book for Boys or Girls Happy Birthday Notebook Gift 110 Notebook Lined Pages,Hermi Ninja Editions,,0,0.00,"(None, None, None)",
7,10 Little Ninjas,Little Ninja Counts to 10 - Ninja Petits Chefs à 10,Anna Swartz,,0,0.00,"(None, None, None)",
8,10 Little Ninjas,Ninja Within: Cute Little Ninja Sketchbook/Sticker Book for Boys or Girls Happy Birthday Notebook Gift 110 Notebook Lined Pages,Hermi Ninja Editions,,0,0.00,"(None, None, None)",
9,10 Little Ninjas,"This Little NINJA is 10: Cute Ninja Happy Birthday Notebook Gift for Boys, Small Blank Lined Diary to Write In, Travel Journal Organizer",All about Ninja,,0,0.00,"(None, None, None)",
10,10 Little Ninjas,Ninja Within: Cute Little Ninja Sketchbook/Sticker Book for Boys or Girls Happy Birthday Notebook Gift 110 Notebook Lined Pages,Hermi Ninja Editions,,0,0.00,"(None, None, None)",
11,10 Little Ninjas,Ninja Within: Cute Little Ninja Sketchbook/Sticker Book for Boys or Girls Happy Birthday Journal Gift 110 Notebook Lined Pages,Hermi Ninja Editions,,0,0.00,"(None, None, None)",
12,10 Little Ninjas,Ninja Within: Cute Little Ninja Sketchbook/Sticker Book for Boys or Girls Happy Birthday Journal Gift 110 Notebook Lined Pages,Hermi Ninja Editions,,0,0.00,"(None, None, None)",
0,Trainbots,Trainbots,Miranda  Paul,Little Bee Books,163,3.55,"('6', '7', '2016')",2016
0,Blobfish Throws a Party,Blobfish Throws a Party,Miranda  Paul,little bee books,183,3.64,"('5', '2', '2017')",2017
0,Mia Moves Out,Mia Moves Out,Miranda  Paul,Alfred A. Knopf Books for Young Readers,162,3.94,"('10', '16', '2018')",2018
0,Are We Pears Yet,Are We Pears Yet?,Miranda  Paul,Roaring Brook Press,213,3.58,"('9', '19', '2017')",2017
